,,unit
Satellite account,Domestic Extraction Used - Primary Crops - Coconuts,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Coffee, Green",kt
Satellite account,Domestic Extraction Used - Primary Crops - Coir,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cotton Lint,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cottonseed,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Cow peas, dry",kt
Satellite account,Domestic Extraction Used - Primary Crops - Cranberries,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cucumbers and Gherkins,kt
Satellite account,Domestic Extraction Used - Primary Crops - Currants,kt
Satellite account,Domestic Extraction Used - Primary Crops - Dates,kt
Satellite account,Domestic Extraction Used - Primary Crops - Eggplants,kt
Satellite account,Domestic Extraction Used - Primary Crops - Fibre Crops nes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Figs,kt
Satellite account,Domestic Extraction Used - Primary Crops - Flax Fibre and Tow,kt
Satellite account,Domestic Extraction Used - Primary Crops - Fonio,kt
Satellite account,Domestic Extraction Used - Primary Crops - Fruit Fresh Nes,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Fruit, tropical fresh nes",kt
Satellite account,Domestic Extraction Used - Primary Crops - Garlic,kt
Satellite account,Domestic Extraction Used - Primary Crops - Ginger,kt
Satellite account,Domestic Extraction Used - Primary Crops - Gooseberries,kt
Satellite account,Domestic Extraction Used - Primary Crops - Grapefruit and Pomelos,kt
Satellite account,Domestic Extraction Used - Primary Crops - Grapes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Groundnuts in Shell,kt
Satellite account,Domestic Extraction Used - Primary Crops - Hazelnuts,kt
Satellite account,Domestic Extraction Used - Primary Crops - Hemp Fibre and Tow,kt
Satellite account,Domestic Extraction Used - Primary Crops - Hempseed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Honey,kt
Satellite account,Domestic Extraction Used - Primary Crops - Hops,kt
Satellite account,Domestic Extraction Used - Primary Crops - Jojoba Seeds,kt
Satellite account,Domestic Extraction Used - Primary Crops - Jute and Jute-like Fibres,kt
Satellite account,Domestic Extraction Used - Primary Crops - Kapok Fibre,kt
Satellite account,Domestic Extraction Used - Primary Crops - Kapokseed in Shell,kt
Satellite account,Domestic Extraction Used - Primary Crops - Karite Nuts,kt
Satellite account,Domestic Extraction Used - Primary Crops - Kiwi Fruit,kt
Satellite account,Domestic Extraction Used - Primary Crops - Kolanuts,kt
Satellite account,Domestic Extraction Used - Primary Crops - Leeks and other Alliac. Veg.,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Leguminous vegetables, nes",kt
Satellite account,Domestic Extraction Used - Primary Crops - Lemons and Limes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Lentils,kt
Satellite account,Domestic Extraction Used - Primary Crops - Lettuce,kt
Satellite account,Domestic Extraction Used - Primary Crops - Linseed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Lupins,kt
Satellite account,Domestic Extraction Used - Primary Crops - Maize,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Maize, green",kt
Satellite account,"Domestic Extraction Used - Primary Crops - Mangoes, mangosteens, guavas",kt
Satellite account,Domestic Extraction Used - Primary Crops - Mate,kt
Satellite account,Domestic Extraction Used - Primary Crops - Melonseed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Millet,kt
Satellite account,Domestic Extraction Used - Primary Crops - Mixed Grain,kt
Satellite account,Domestic Extraction Used - Primary Crops - Mushrooms,kt
Satellite account,Domestic Extraction Used - Primary Crops - Mustard Seed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Natural Rubber,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Nutmeg, mace and cardamoms",kt
Satellite account,"Domestic Extraction Used - Primary Crops - Nuts, nes",kt
Satellite account,Domestic Extraction Used - Primary Crops - Oats,kt
Satellite account,Domestic Extraction Used - Primary Crops - Oil Palm Fruit,kt
Satellite account,Domestic Extraction Used - Primary Crops - Oilseeds nec,kt
Satellite account,Domestic Extraction Used - Primary Crops - Okra,kt
Satellite account,Domestic Extraction Used - Primary Crops - Olives,kt
Satellite account,Domestic Extraction Used - Primary Crops - Onions,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Onions, dry",kt
Satellite account,Domestic Extraction Used - Primary Crops - Oranges,kt
Satellite account,Domestic Extraction Used - Primary Crops - Other Bastfibres,kt
Satellite account,Domestic Extraction Used - Primary Crops - Other melons,kt
Satellite account,Domestic Extraction Used - Primary Crops - Papayas,kt
Satellite account,Domestic Extraction Used - Primary Crops - Peaches and Nectarines,kt
Satellite account,Domestic Extraction Used - Primary Crops - Pears,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Peas, Green",kt
Satellite account,"Domestic Extraction Used - Primary Crops - Peas, dry",kt
Satellite account,Domestic Extraction Used - Primary Crops - Pepper,kt
Satellite account,Domestic Extraction Used - Primary Crops - Peppermint,kt
Satellite account,Domestic Extraction Used - Primary Crops - Persimmons,kt
Satellite account,Domestic Extraction Used - Primary Crops - Pigeon peas,kt
Satellite account,Domestic Extraction Used - Primary Crops - Pineapples,kt
Satellite account,Domestic Extraction Used - Primary Crops - Pistachios,kt
Satellite account,Domestic Extraction Used - Primary Crops - Plantains,kt
Satellite account,Domestic Extraction Used - Primary Crops - Plums,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Pome fruit, nes",kt
Satellite account,Domestic Extraction Used - Primary Crops - Poppy Seed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Potatoes,kt
