Region,Level,Item,production
EU27+UK,Sector,"Wool, silk-worm cocoons",580547608557.0297
EU27+UK,Sector,products of Vegetable oils and fats,-12966472643219.7
RoW,Sector,Additives/Blending Components,-391269219101.2458
RoW,Sector,Air transport services (62),-15101583505485.71
RoW,Sector,Aluminium and aluminium products,27535592829.8356
RoW,Sector,Aluminium ores and concentrates,-2236642793943.3926
RoW,Sector,Animal products nec,2768993335348.746
RoW,Sector,Anthracite,224368772110.86212
RoW,Sector,"Ash for treatment, Re-processing of ash into clinker",0.0
RoW,Sector,Aviation Gasoline,6315415868342.572
RoW,Sector,BKB/Peat Briquettes,4736503216957.448
RoW,Sector,Basic iron and steel and of ferro-alloys and first products thereof,-4468673930521.986
RoW,Sector,Beverages,744822880171.4054
RoW,Sector,Biodiesels,-1861226986321.358
RoW,Sector,Biogas,2564105799881.5728
RoW,Sector,Biogasoline,1758491550147.7944
RoW,Sector,Bitumen,-47956186017009.36
RoW,Sector,Blast Furnace Gas,174936544273.4775
RoW,Sector,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
RoW,Sector,"Bricks, tiles and construction products, in baked clay",-1388534226659.9336
RoW,Sector,Cattle,-20407884284726.242
RoW,Sector,"Cement, lime and plaster",-29262106007405.332
RoW,Sector,Ceramic goods,-19934466338938.52
RoW,Sector,Cereal grains nec,-9417423412083.434
RoW,Sector,Charcoal,-571196004405.3394
RoW,Sector,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",25722107951668.285
RoW,Sector,Chemicals nec,64214993235209.0
RoW,Sector,Coal Tar,-11083229236155.193
RoW,Sector,Coke Oven Coke,-28238210715756.742
RoW,Sector,Coke oven gas,-7812012855790.137
RoW,Sector,Coking Coal,-144342349172.2202
RoW,Sector,"Collected and purified water, distribution services of water (41)",24531377015210.438
RoW,Sector,Computer and related services (72),-6334081086190.925
RoW,Sector,Construction work (45),81608896334744.77
RoW,Sector,Copper ores and concentrates,2938275112658.8423
RoW,Sector,Copper products,4608543168903.956
RoW,Sector,Crops nec,-3921793627409.413
RoW,Sector,"Crude petroleum and services related to crude oil extraction, excluding surveying",277226406402392.9
RoW,Sector,Dairy products,1633668968901.8325
RoW,Sector,Disassembler of PV panels,0.0
RoW,Sector,Disassembler of Wind Turbines,0.0
RoW,Sector,Distribution and trade services of electricity,-938256809639.8219
RoW,Sector,Distribution services of gaseous fuels through mains,125379824030325.23
RoW,Sector,Dysprosium,179070328.60858405
RoW,Sector,Education services (80),4922580771460.279
RoW,Sector,Electrical machinery and apparatus n.e.c. (31),3139206827305.906
